date,ensemble
2023-02-14,1000000.0
2023-02-15,999928.9385965768
2023-02-16,996650.01381518
2023-02-17,999956.1895603408
2023-02-21,990512.5848269268
2023-02-22,988584.4916786574
2023-02-23,990026.0122276916
2023-02-24,982623.3569780232
2023-02-27,985566.21464381
2023-02-28,975264.2746216428
2023-03-01,972487.0829770848
2023-03-02,986720.9717003552
2023-03-03,998949.4315055883
2023-03-06,999633.6095913732
2023-03-07,981880.2443598708
2023-03-08,981437.7658812596
2023-03-09,964751.1082027052
2023-03-10,952533.1711674116
2023-03-13,945348.046072464
2023-03-14,958196.3656614836
2023-03-15,951041.6204565772
2023-03-16,967481.3746698302
2023-03-17,955644.8464001234
2023-03-20,960029.6746918104
2023-03-21,972221.8258169326
2023-03-22,958810.4473825626
2023-03-23,966046.320159666
2023-03-24,970157.7703520984
2023-03-27,971474.2332895563
2023-03-28,968556.3636365564
2023-03-29,983975.5100336664
2023-03-30,990788.9209065608
2023-03-31,1004728.655254877
2023-04-03,1006877.886806757
2023-04-04,1001744.050611246
2023-04-05,999105.1572461338
2023-04-06,1005973.991181734
2023-04-10,1006178.9896696338
2023-04-11,1001520.7864382608
2023-04-12,999333.298936861
2023-04-13,1013782.5362678624
2023-04-14,1008977.7567192172
2023-04-17,1016128.9093719388
2023-04-18,1015320.2717557696
2023-04-19,1017469.369522562
2023-04-20,1014275.9095073948
2023-04-21,1014878.8854894734
2023-04-24,1012415.1243262691
2023-04-25,995966.0118343182
2023-04-26,1011873.1133762988
2023-04-27,1030204.5154339466
2023-04-28,1037528.2227568683
2023-05-01,1033802.434209154
2023-05-02,1023467.5590699634
2023-05-03,1016670.5788509024
2023-05-04,1011061.0829266662
2023-05-05,1033266.8805152284
2023-05-08,1031697.1438266144
2023-05-09,1027841.3024169313
2023-05-10,1030831.3892327612
2023-05-11,1027567.4553782406
2023-05-12,1024464.4272603436
2023-05-15,1025456.988014494
2023-05-16,1020597.5830538616
2023-05-17,1029130.6192820568
2023-05-18,1039753.0992937792
2023-05-19,1035746.4811023808
2023-05-22,1034123.6407953816
2023-05-23,1022627.4428959752
2023-05-24,1015755.4978719732
2023-05-25,1024974.6527565194
2023-05-26,1040926.856727642
2023-05-30,1040619.2542367878
2023-05-31,1038939.2525954152
2023-06-01,1049615.536151537
2023-06-02,1066805.95181151
2023-06-05,1064357.008386477
2023-06-06,1062161.4324908678
2023-06-07,1052220.8925032043
2023-06-08,1061151.2905693837
2023-06-09,1064003.6640777227
2023-06-12,1073342.26503216
2023-06-13,1077430.3376342566
2023-06-14,1069635.564656956
2023-06-15,1086254.6002928067
2023-06-16,1075534.401232443
2023-06-20,1070075.795977553
2023-06-21,1065410.1824645195
2023-06-22,1075654.3352255174
2023-06-23,1068581.537601803
2023-06-26,1063578.0255816996
2023-06-27,1068128.7275925635
2023-06-28,1067397.1511879198
2023-06-29,1069450.8233111135
2023-06-30,1080506.4972643014
2023-07-03,1079210.0624235957
2023-07-05,1076432.1880461122
2023-07-06,1069127.414683838
2023-07-07,1059999.1756192455
2023-07-10,1062830.9536805763
2023-07-11,1069313.613931656
2023-07-12,1068739.2984330216
2023-07-13,1068797.436778374
2023-07-14,1081002.4353104022
2023-07-17,1085434.8206080936
2023-07-18,1095490.76190424
2023-07-19,1103487.1798717768
2023-07-20,1101546.8825808377
2023-07-21,1102117.554162159
2023-07-24,1107495.4355143092
2023-07-25,1108989.6489825349
2023-07-26,1107603.423991259
2023-07-27,1100460.364361319
2023-07-28,1102757.7146964648
2023-07-31,1109103.1321859097
2023-08-01,1110828.8387058566
2023-08-02,1104097.4179441703
2023-08-03,1102020.276324822
2023-08-04,1091251.5091348574
2023-08-07,1099297.261400637
2023-08-08,1092260.9110036872
2023-08-09,1085293.7616205562
2023-08-10,1086390.1018508268
2023-08-11,1092005.113388264
2023-08-14,1096039.2720059133
2023-08-15,1082991.6351858145
