,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2022-11-10,AAPL,141.24000549316406,146.8699951171875,139.5,146.0536346435547,118854000.0,3.0,-1.805131108032299,155.15414351886253,132.5913765006687,49.339061608671436,10.610971458523903,4.314265980626243,142.8875981648763,149.7756253560384,23.530000686645508,16.939767286818228
1,2022-11-11,AAPL,145.82000732421875,150.00999450683594,144.3699951171875,148.86788940429688,93979700.0,4.0,-1.1350177071660426,155.50445525347286,133.38956024945682,50.85768228938669,66.6638070835171,2.7584850872843467,143.2763870239258,149.3751703898112,22.520000457763672,0.7249214800528634
2,2022-11-14,AAPL,148.97000122070312,150.27999877929688,147.42999267578125,147.45578002929688,73374100.0,0.0,-0.7097123123885751,155.78734046124762,133.7138649830883,50.07847084451217,72.19654506133183,3.36077125676345,143.4774597167969,148.99469782511395,23.729999542236328,0.19202423355086143
3,2022-11-15,AAPL,152.22000122070312,153.58999633789062,148.55999755859375,149.2060089111328,89868300.0,1.0,-0.2287885474177358,156.24085494896076,133.9095280466447,51.04027683674325,99.09865608442901,10.615699993337396,143.61608327229817,148.7087547302246,24.540000915527344,0.270942141961249
4,2022-11-16,AAPL,149.1300048828125,149.8699951171875,147.2899932861328,147.9629364013672,64218300.0,2.0,0.051448373617063226,156.5161789716681,134.14815513477723,50.32786200424851,62.72490587261302,7.311493803669671,143.7033437093099,148.40771967569987,24.110000610351562,0.14779274840747975
5,2022-11-17,AAPL,146.42999267578125,151.47999572753906,146.14999389648438,149.88221740722656,80389400.0,3.0,0.42352594613603856,156.97701250537568,134.43986066356962,51.41109627627477,71.24518113595727,10.917506790639083,143.88668009440104,148.13370869954426,23.93000030517578,0.3248616586546133
6,2022-11-18,AAPL,152.30999755859375,152.6999969482422,149.97000122070312,150.4490509033203,74829600.0,4.0,0.7554306941383402,157.38648606735612,134.45440596145247,51.732686518959895,92.25379610464869,13.639059119897412,144.2656280517578,147.82777837117513,23.1200008392334,0.02563622949754264
7,2022-11-21,AAPL,150.16000366210938,150.3699951171875,147.72000122070312,147.1873016357422,58724100.0,0.0,0.746664607049695,157.28598186210644,134.43632648750292,49.771734954280085,50.14520648710874,7.183439062732846,144.52493031819662,147.57354914347331,22.360000610351562,0.9536673420656159
8,2022-11-22,AAPL,148.1300048828125,150.4199981689453,146.92999267578125,149.34521484375,51804100.0,1.0,0.903428816299396,157.03342129465273,134.49917453054258,51.04182271707797,53.72180241943301,4.945808439569115,144.90381774902343,147.39234924316406,21.290000915527344,0.4345216127108419
9,2022-11-23,AAPL,149.4499969482422,151.8300018310547,149.33999633789062,150.23028564453125,58301400.0,2.0,1.0865582314000903,157.25618534746843,134.4720510416917,51.56151160764811,73.61476024893528,8.586816906913748,145.33338673909506,147.2667704264323,20.350000381469727,0.07051523604469946
