time/total_timesteps,time/fps,time/iterations,train/reward,time/time_elapsed,train/clip_range,train/value_loss,train/std,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction
81920,76,40,0.27389944,1077,0.2,19.775678259134292,1.0700217485427856,0.043125585,8.353110313415527,-43.09103710651398,0.00025,-0.013518145434500185,0.08653432130813599,390,0.321728515625
83968,76,41,-3.3433292,1104,0.2,78.30043308734894,1.0708152055740356,0.026343672,38.084110260009766,-43.10882205963135,0.00025,-0.008435035942238756,0.04046821594238281,400,0.27294921875
86016,76,42,0.09526869,1131,0.2,41.422596383094785,1.072461724281311,0.02305786,27.766998291015625,-43.14156928062439,0.00025,-0.010895699373213575,0.026608645915985107,410,0.226123046875
88064,76,43,-1.0282081,1157,0.2,28.879231852293014,1.0736714601516724,0.027924653,13.268697738647461,-43.17490921020508,0.00025,-0.010341802371840458,0.10445988178253174,420,0.2998046875
90112,76,44,-1.7492009,1185,0.2,110.20003974437714,1.0750826597213745,0.03344895,53.73261260986328,-43.216018652915956,0.00025,-0.007762544209253974,0.02259373664855957,430,0.28916015625
92160,76,45,0.5112983,1212,0.2,50.1980229139328,1.0764857530593872,0.03040907,20.02089500427246,-43.25391936302185,0.00025,-0.011050846622674726,0.0403481125831604,440,0.283349609375
94208,76,46,-0.9658124,1238,0.2,72.06547944545746,1.0760010480880737,0.048213653,52.42584228515625,-43.26630277633667,0.00025,-0.0069912219521938825,-0.006946921348571777,450,0.385791015625
96256,76,47,-3.1472707,1265,0.2,101.68350989818573,1.0790953636169434,0.04871747,38.62797546386719,-43.30412399768829,0.00025,0.0008132292467053048,0.017702341079711914,460,0.380078125
98304,76,48,-0.23524143,1291,0.2,52.82488408088684,1.0825492143630981,0.03219574,25.433042526245117,-43.37923502922058,0.00025,-0.00996622911770828,0.021338164806365967,470,0.30400390625
100352,76,49,1.557975,1317,0.2,41.391637194156644,1.08378005027771,0.03737577,12.333699226379395,-43.447830653190614,0.00025,-0.008183904667384922,-0.0008521080017089844,480,0.295556640625
102400,76,50,0.9962854,1344,0.2,72.62334017753601,1.0842989683151245,0.026600834,37.55434036254883,-43.47359113693237,0.00025,-0.004769640901940875,0.0321352481842041,490,0.23681640625
104448,76,51,1.6554443,1371,0.2,85.51075282096863,1.0859503746032715,0.041499387,41.866939544677734,-43.495549941062926,0.00025,-0.009052648278884589,0.034334540367126465,500,0.323486328125
106496,76,52,0.16451637,1398,0.2,68.21460012197494,1.0903714895248413,0.042687606,38.49823760986328,-43.58888008594513,0.00025,-0.00278621309043956,-0.018774986267089844,510,0.3787109375
108544,76,53,1.2490089,1426,0.2,118.47283654212951,1.0938031673431396,0.040762223,64.05268859863281,-43.69347081184387,0.00025,-0.011577101264265366,0.018880009651184082,520,0.322900390625
110592,76,54,-2.684915,1453,0.2,39.5409276843071,1.0943812131881714,0.030832136,18.94350242614746,-43.744668340682985,0.00025,-0.00529340683715418,0.12490928173065186,530,0.287255859375
112640,76,55,-1.1106529,1480,0.2,23.325513327121733,1.0971174240112305,0.043411635,8.369831085205078,-43.77671639919281,0.00025,-0.014104613581730518,0.07436096668243408,540,0.32314453125
114688,76,56,0.29988644,1507,0.2,50.18665064573288,1.0980007648468018,0.032359578,14.762713432312012,-43.8349093914032,0.00025,-0.006588665858726017,0.06759130954742432,550,0.237255859375
116736,76,57,2.9909346,1533,0.2,79.08490533828736,1.0991581678390503,0.029494213,35.85445785522461,-43.86065480709076,0.00025,-0.00942512683395762,-0.027410387992858887,560,0.263916015625
118784,76,58,-0.9194788,1560,0.2,30.968681192398073,1.1024819612503052,0.030593354,8.899188995361328,-43.91766273975372,0.00025,-0.008598622179124504,0.10870462656021118,570,0.283154296875
120832,76,59,-3.44537,1587,0.2,114.23224959373474,1.103271722793579,0.03096712,36.18627166748047,-43.9796361207962,0.00025,0.0010746552812634035,0.010099232196807861,580,0.30849609375
